Agency	Description	Uploaded on	Link	Value
DEPARTMENT OF HOMELAND SECURITY	THE PURPOSE OF THIS ACTION ...	2/6/2025		$161,999
DEPARTMENT OF HOMELAND SECURITY	USCIS OFFICE OF EQUAL OPPOR...	2/12/2025		$5,950,867
DEPARTMENT OF HOMELAND SECURITY	CBP OFFICE OF TRADE PERFORM...	2/12/2025		$965,072
DEPARTMENT OF HOMELAND SECURITY	ENERGY AND SUSTAINABILITY A...	2/12/2025		$1,407,824
DEPARTMENT OF HOMELAND SECURITY	CLIMATE RESILIENCE SUPPORT ...	2/12/2025		$8,939,381
DEPARTMENT OF HOMELAND SECURITY	DEVELOPMENT OF CLIMATE CHAN...	2/12/2025		$336,871
DEPARTMENT OF HOMELAND SECURITY	THE PURPOSE OF THIS PR IS T...	2/12/2025		$4,402,765
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	TRAINING MATERIALS FRANKLIN...	2/11/2025		$2,264,147
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	407 USER LICENSING AGREEMEN...	2/11/2025		$173,992
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	ON-LINE ELECTRONIC POLICY P...	2/11/2025		$3,795,086
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	POST CLOSING PORTFOLIO MANA...	2/11/2025		$8,992,469
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	AWARENESS, COMMUNICATION, E...	2/11/2025		$6,820,551
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	SUPPORT TO PROVIDE STANDARD...	2/11/2025		$4,213,139
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	HUD HANDBOOK 4350.1	2/11/2025		$1,550,384
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	OCPO SEEKS THE ASSISTANCE O...	2/11/2025		$1,973,575
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	FEDERAL HUMAN CAPITAL COLLA...	2/11/2025		$82,500
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	OUTWARD MINDSET TM TRAINING...	2/11/2025		$348,360
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	ORGANIZATIONAL CULTURE	2/11/2025		$702,501
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	ENTERPRISE-WIDE SOLUTION FO...	2/11/2025		$161,055
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	BETTERUP LEADERSHIP LICENSES	2/11/2025		$1,648,486
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	TO IMPROVE HUD'S STRATEGIC ...	2/11/2025		$1,532,430
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	NEGOTIATION AND LABOR CONSU...	2/11/2025		$1,083,405
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	TO IMPROVE HUD'S STRATEGIC ...	2/11/2025		$2,968,874
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	POLITICO PRO TO PROVIDE POL...	2/11/2025		$80,900
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	CALL ORDER FOR PURCHASE AND...	2/11/2025		$567,809
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	FURNITURE INSTALLATION FOR ...	2/11/2025		$1,115,300
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	FINANCIAL QUALITY CONTROL A...	2/11/2025		$3,470,436
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	WEBINAR SERVICES FOR PHILAD...	2/11/2025		$592,949
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	ONLINE DATABASE SUBSCRIPTIO...	2/11/2025		$950,746
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	242 PROGRAM FEASIBILITY STU...	2/11/2025		$1,191,186
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	MENTAL HEALTH FIRST AID TRA...	2/11/2025		$484,200
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	OFFICE OF HOUSING COUNSELIN...	2/11/2025		$3,025,292
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	MTW COHORT 1	2/11/2025		$2,199,962
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	BROADBAND ACCESS IN HUD-ASS...	2/11/2025		$936,488
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	NEW BPA CALL UNDER HUD SPEC...	2/11/2025		$1,521,942
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	NEW BPA CALL UNDER HUD SPEC...	2/11/2025		$739,301
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	COMPLETE THE EVALUATION OF ...	2/11/2025		$1,596,334
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	INNOVATION IN AFFORDABLE HO...	2/11/2025		$1,471,649
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	PROVIDE AN ONLINE INTERVIEW...	2/11/2025		$1,912,191
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	EO14042 PROJECT MANAGEMENT...	2/11/2025		$4,200,086
DEPARTMENT OF JUSTICE	POLITICO PRO PLUS, ONLINE L...	2/7/2025		$13,000
DEPARTMENT OF JUSTICE	FY25 E&E PUBLICATIONS	2/7/2025		$91,000
DEPARTMENT OF JUSTICE	POLITICO PRO PLUS, ONLINE L...	2/7/2025		$21,115
DEPARTMENT OF JUSTICE	LOGINS TO THE NEW YORK TIME...	2/12/2025		$13,320
DEPARTMENT OF JUSTICE	HISTORIC NEW YORK TIMES AND...	2/12/2025		$10,989
DEPARTMENT OF JUSTICE	SPONSORSHIP	2/13/2025		$35,000
DEPARTMENT OF LABOR	REQUEST FOR A LIMITED SMALL...	1/24/2025		$9,679,268
DEPARTMENT OF LABOR	THIS REQUIREMENT IS TO PROV...	2/6/2025		$118,380
DEPARTMENT OF LABOR	NEW PURCHASE ORDER FOR TEAM...	2/7/2025		$40,840
DEPARTMENT OF LABOR	DIVERSITY, EQUITY, INCLUSIO...	2/7/2025		$4,097,657
DEPARTMENT OF LABOR	NEW TASK TO BE ESTABLISHED ...	2/7/2025		$154,083
DEPARTMENT OF LABOR	GENERAL BUSINESS DATABASE, ...	2/14/2025		$486,327
DEPARTMENT OF LABOR	TO OBTAIN A 12-MONTH BASE, ...	2/14/2025		$149,325
DEPARTMENT OF LABOR	DIVERSITY COUNCIL FACILITAT...	1/27/2025		$89,370
DEPARTMENT OF LABOR	SUBSCRIPTION FOR POLITICO P...	2/6/2025		$81,478
DEPARTMENT OF LABOR	A UNIQUE FUNCTION IN WASHIN...	2/13/2025		$47,312
DEPARTMENT OF STATE	ENHANCED MULTIMEDIA CONTENT...	2/5/2025		$2,192,958
DEPARTMENT OF STATE	DEIA CHAMPIONS PROGRAM HOWA...	2/5/2025		$101,573
DEPARTMENT OF STATE	DEIA TRAIN THE TRAINER WORK...	2/5/2025		$10,000
DEPARTMENT OF STATE	7203.1 LABCO DEIA	2/6/2025		$20,000
DEPARTMENT OF STATE	BSB|FAS| DATAGRO SUBSCRIPTI...	2/12/2025		$13,662
DEPARTMENT OF STATE	MGT. OF SOCIAL MEDIA PAGES	2/13/2025		$49,892
DEPARTMENT OF STATE	OTHER QC/TEST/INSPECT- MISC...	2/14/2025		$886,139
DEPARTMENT OF STATE	IT AND TELECOM - BUSINESS A...	2/14/2025		$141,816
DEPARTMENT OF STATE	CULTURAL HERITAGE SUPPORT	1/28/2025		$2,135,157
DEPARTMENT OF STATE	DEIA CLIMATE SURVEY SERVICES	1/30/2025		$636,456
DEPARTMENT OF STATE	THIS IS A TASK ORDER FOR PR...	2/5/2025		$222,821,284
DEPARTMENT OF STATE	GEC PROFESSIONAL SUPPORT SE...	2/5/2025		$13,844,899
DEPARTMENT OF STATE	ADMINISTRATIVE SERVICES	2/5/2025		$3,278,204
DEPARTMENT OF STATE	ENR TO BALKANS CLEAN ENERGY	2/5/2025		$3,990,387
DEPARTMENT OF STATE	PSP BPA CALL 55 UKRAINE CLE...	2/5/2025		$2,855,877
DEPARTMENT OF STATE	PSP CESI-PACC	2/5/2025		$2,513,783
DEPARTMENT OF STATE	ENR BPA TO GLOBAL METHANE 2023	2/5/2025		$2,302,721
DEPARTMENT OF STATE	ENR BPA TO CLEAN HYDROGEN_ ...	2/5/2025		$1,974,221
DEPARTMENT OF STATE	ONE-YEAR ORDER WITH THE POL...	2/5/2025		$258,610
DEPARTMENT OF STATE	MIDSTREAM DIVERSIFICATION A...	2/5/2025		$1,186,915
DEPARTMENT OF STATE	PSP BALKANS CLEAN HYDROGEN	2/5/2025		$928,927
DEPARTMENT OF STATE	RENEWABLE ENERGY DEVELOPMEN...	2/5/2025		$886,655
DEPARTMENT OF STATE	AWARD OF THE POLITICO PRO S...	2/5/2025		$13,000
DEPARTMENT OF STATE	ENR BPA TO OFFSHORE BALKANS...	2/5/2025		$2,190,057
DEPARTMENT OF STATE	GLOBAL OFFSHORE WIND DEVELO...	2/5/2025		$256,194
DEPARTMENT OF STATE	THE ASSOCIATED PRESS AWARD ...	2/5/2025		$300,301
DEPARTMENT OF STATE	GOLDBELT C6, LLC PROFESSION...	2/5/2025		$447,204
DEPARTMENT OF STATE	ENHANCED MULTIMEDIA CONTENT...	2/5/2025		$301,150
DEPARTMENT OF TRANSPORTATION	THIS CONTRACT IS FOR THE PR...	1/31/2025		$3,251,353
DEPARTMENT OF TRANSPORTATION	PROCURE E&E NEWS PUBLICATIONS	2/11/2025		$39,300
DEPARTMENT OF TRANSPORTATION	DEIA PROGRAM AND PROJECT MA...	2/12/2025		$3,861,496
DEPARTMENT OF TRANSPORTATION	CORTAP TASK ORDER FY 2025 R...	2/14/2025		$1,299,440
DEPARTMENT OF TRANSPORTATION	SPEED SAFETY CAMERA LOCATIO...	2/5/2025		$284,808
DEPARTMENT OF TRANSPORTATION	GSA FEDERAL SUPPLY SCHEDULE...	2/6/2025		$15,000,000
DEPARTMENT OF TRANSPORTATION	FIRM FIXED PRICE (FFP)/ TIM...	2/6/2025		$94,000,000
DEPARTMENT OF TRANSPORTATION	CREATE A NEW DELIVERY TASK ...	2/6/2025		$559,507
DEPARTMENT OF TRANSPORTATION	PROFESSIONAL SUPPORT SERVIC...	2/6/2025		$5,482,786
DEPARTMENT OF TRANSPORTATION	ENVIRONMENTAL IMPACT STATEM...	2/6/2025		$5,048,145
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS DELIVER...	2/6/2025		$295,000
DEPARTMENT OF TRANSPORTATION	SUBSCRIPTION SERVICES FOR P...	2/13/2025		$18,770
DEPARTMENT OF TRANSPORTATION	CONSULTING SERVICES FOR ENV...	2/14/2025		$109,256
DEPARTMENT OF TRANSPORTATION	TO SOLE SOURCE AWARD A BASE...	2/14/2025		$510,818
DEPARTMENT OF TRANSPORTATION	FINANCIAL, BUDGETARY, AND O...	2/14/2025		$4,388,665
DEPARTMENT OF TRANSPORTATION	TITLE: COMMUNITY ENHANCED T...	2/14/2025		$733,562
DEPARTMENT OF TRANSPORTATION	OFFICE OF CIVIL RIGHTS (ACR...	2/14/2025		$7,873,252
DEPARTMENT OF TRANSPORTATION	THE U.S. DEPARTMENT OF TRAN...	2/14/2025		$154,480
DEPARTMENT OF TRANSPORTATION	REQUSISTION: THE PURPOSE OF...	2/14/2025		$1,730,900
DEPARTMENT OF TRANSPORTATION	FEDERATION OF AMERICAN SCIE...	2/14/2025		$1,788,319
DEPARTMENT OF TRANSPORTATION	ESTABLISH A NEW TASK ORDER ...	2/14/2025		$1,445,553
DEPARTMENT OF TRANSPORTATION	BPA CALL: THE PURPOSE OF T...	2/14/2025		$2,573,644
DEPARTMENT OF TRANSPORTATION	PURCHASE ORDER 693JK424P600...	2/14/2025		$19,100
DEPARTMENT OF TRANSPORTATION	NEW BUREAU PROCUREMENT (TIF...	2/14/2025		$155,233
DEPARTMENT OF TRANSPORTATION	THIS IS A NEW BPA CALL WITH...	2/14/2025		$149,367
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS CONTRAC...	2/14/2025		$1,671,916
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS CONTRAC...	2/14/2025		$1,771,898
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS CONTRAC...	2/14/2025		$265,512
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS CONTRAC...	2/14/2025		$2,087,139
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS BPA CAL...	2/14/2025		$327,714
DEPARTMENT OF TRANSPORTATION	OPTION YEAR 2 FOR SUPPORT S...	2/14/2025		$969,052
DEPARTMENT OF TRANSPORTATION	SEE FPDS	2/14/2025		SEE FPDS
DEPARTMENT OF TRANSPORTATION	NEW PURCHASE ORDER FOR THE ...	2/14/2025		$249,600
DEPARTMENT OF TRANSPORTATION	A NEW ENERGY AND SUSTAINABI...	2/14/2025		$447,563
DEPARTMENT OF TRANSPORTATION	PROVIDE DOT OST WITH A FEAS...	2/14/2025		$148,900
DEPARTMENT OF TRANSPORTATION	ESTABLISH A PURCHASE ORDER ...	2/14/2025		$137,500
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS PURCHAS...	2/14/2025		$1,744,275
DEPARTMENT OF TRANSPORTATION	SERJON LLC - TEMP FINANCIAL...	2/14/2025		$1,293,021
DEPARTMENT OF TRANSPORTATION	PROFESSIONAL EXECUTIVE LEVE...	2/14/2025		$12,618
DEPARTMENT OF TRANSPORTATION	A NEW AWARD FOR THE EXCELLE...	2/14/2025		$285,000
DEPARTMENT OF TRANSPORTATION	FHWA BPA ORDER FOR HEP MARK...	2/14/2025		$494,162
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS EFFORT ...	2/14/2025		$2,605,643
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS TASK OR...	2/14/2025		$798,956
DEPARTMENT OF TRANSPORTATION	NEW TASK ORDER AWARD ENTITL...	2/14/2025		$389,592
DEPARTMENT OF TRANSPORTATION	BLANKET PURCHASE AGREEMENT ...	2/14/2025		$1,314,379
DEPARTMENT OF TRANSPORTATION	TASK ORDER FOR "SUPPORT OF ...	2/14/2025		$565,470
DEPARTMENT OF TRANSPORTATION	THIS IS A NEW AWARD FOR THR...	2/14/2025		$1,062,728
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS TASK OR...	2/14/2025		$284,983
DEPARTMENT OF TRANSPORTATION	ADVISING SERVICES TO ASSOCI...	2/14/2025		$64,205
DEPARTMENT OF TRANSPORTATION	TECHNICAL SERVICES CONTRACT...	2/14/2025		$812,512
DEPARTMENT OF TRANSPORTATION	ADMINISTRATIVE ANALYST II T...	2/14/2025		$18,832
DEPARTMENT OF TRANSPORTATION	SHORTLINE PILOT - DEVELOP A...	2/14/2025		$165,491
DEPARTMENT OF TRANSPORTATION	SECTOR RISK MANAGEMENT AGEN...	2/14/2025		$2,254,886
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS NEW PUR...	2/14/2025		$282,960
DEPARTMENT OF TRANSPORTATION	FEDERAL TRANSIT ADMINISTRAT...	2/14/2025		$470,704
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS TASK OR...	2/14/2025		$65,000
DEPARTMENT OF TRANSPORTATION	THE PURPOSE OF THIS PURCHAS...	2/14/2025		$153,676
DEPARTMENT OF TREASURY	THE PURPOSE IS FOR OMWI'S S...	1/22/2025		$32,200
DEPARTMENT OF TREASURY	SEE FPDS	1/22/2025		SEE FPDS
DEPARTMENT OF TREASURY	LEADING LEADER'S READINESS ...	1/23/2025		$3,056,146
DEPARTMENT OF TREASURY	EDI TRANSFORMATION - IMPLEM...	1/22/2025		$5,265,565
DEPARTMENT OF TREASURY	TRAINING CLASSES FOR PROGRA...	1/23/2025		$950,000
DEPARTMENT OF TREASURY	FY24 FALL TREASURY SCHOLARS...	1/22/2025		$88,733
DEPARTMENT OF TREASURY	TREASURY SCHOLARS PROGRAM S...	1/22/2025		$6,500,000
DEPARTMENT OF TREASURY	THIS IS A FIRM FIXED PRICE ...	1/22/2025		$6,500,000
DEPARTMENT OF TREASURY	THIS IS A FIRM FIXED PRICE ...	1/28/2025		$6,500,000
DEPARTMENT OF TREASURY	OUTWARD INCLUSION DIGITAL W...	1/30/2025		$98,750
DEPARTMENT OF TREASURY	DIVERSITY AND INCLUSION TRA...	1/30/2025		$1,322,403
DEPARTMENT OF TREASURY	POLITICO PRO SUBSCRIPTIONS	2/6/2025		$81,600
DEPARTMENT OF TREASURY	ENTERPRISE DIGITAL ACCESS T...	2/6/2025		$90,101
DEPARTMENT OF TREASURY	BLOOMBERG LAW FOR TAX POLICY	2/6/2025		$107,861
DEPARTMENT OF TREASURY	BLOOMBERG BGOV	2/6/2025		$216,007
DEPARTMENT OF TREASURY	BLOOMBERG ELECTRONIC DATABA...	2/6/2025		$20,785
DEPARTMENT OF TREASURY	BLOOMBERG GOVERNMENT SUBSCR...	2/6/2025		$129,143
DEPARTMENT OF TREASURY	SUBSCRIPTIONS TO THE BUREAU...	2/6/2025		$490,759
DEPARTMENT OF TREASURY	BLOOMBERG GOVERNMENT SUBSCR...	2/6/2025		$59,641
DEPARTMENT OF TREASURY	POLITICO PRO SUBSCRIPTIONS	2/6/2025		$115,630
DEPARTMENT OF TREASURY	POLITICOPRO SUBSCRIPTIONS	2/6/2025		$349,668
DEPARTMENT OF TREASURY	SUBSCRIPTION TO POLITICO PR...	2/6/2025		$20,982
DEPARTMENT OF TREASURY	POLITICO PRO SUBSCRIPTION	2/6/2025		$16,600
DEPARTMENT OF TREASURY	DIVERSITY AND INCLUSION WOR...	2/7/2025		$121,039
DEPARTMENT OF TREASURY	DIVERSITY, EQUITY, INCLUSIO...	2/7/2025		$139,958
DEPARTMENT OF TREASURY	BLOOMBERG LAW SUBSCRIPTION	2/7/2025		$952,215
DEPARTMENT OF TREASURY	BLOOMBERG LAW SUBSCRIPTION	2/7/2025		$220,181
DEPARTMENT OF TREASURY	SUBSCRIPTION WITH THE NEW Y...	2/10/2025		$158,008
DEPARTMENT OF TREASURY	RENEWAL OF THE CONFERENCE B...	2/10/2025		$213,548
DEPARTMENT OF TREASURY	TRAINING CLASSES FOR PROGRA...	2/10/2025		$7,000,000
DEPARTMENT OF TREASURY	PRINTING SCHOLARS INTERNSHIP	2/10/2025		$86,448
DEPARTMENT OF TREASURY	PRINTING SCHOLARS INTERNSHIP	2/10/2025		$67,149
DEPARTMENT OF TREASURY	NEWSPAPER AND MAGAZINE DELI...	2/11/2025		$41,642
DEPARTMENT OF TREASURY	BPA FOR NEWSPAPER AND MAGAZ...	2/11/2025		$4,998
DEPARTMENT OF TREASURY	BPA SET-UP FOR CLIMATE CORPS	2/12/2025		$6,900,000
DEPARTMENT OF TREASURY	SOCIAL MEDIA PUBLISHING AND...	2/13/2025		$515,301
DEPARTMENT OF TREASURY	ENTERPRISE PRIVILEGED MEMBE...	2/14/2025		$693,961
DEPARTMENT OF TREASURY	PURCHASE OF INSTALLATION AN...	1/23/2025		$222,145
DEPARTMENT OF TREASURY	DE-INSTALL DISPOSAL REINST...	1/27/2025		$12,477
DEPARTMENT OF TREASURY	SAS ANNUAL SOFTWARE RENEWAL	1/27/2025		$4,696,224
DEPARTMENT OF TREASURY	PRINTING SCHOLARS INTERNSHI...	1/24/2025		$255,613
DEPARTMENT OF TREASURY	EEO INVESTIGATION SERVICES ...	1/23/2025		$12,605
DEPARTMENT OF TREASURY	EEO INVESTIGATION SERVICES ...	1/23/2025		$8,490
DEPARTMENT OF TREASURY	EEO SERVICES CALL ORDER 6	1/23/2025		$28,300
DEPARTMENT OF TREASURY	TREASURY ADMINISTRATIVE SER...	1/24/2025		$139,921
DEPARTMENT OF TREASURY	TREASURY ADMINISTRATIVE SER...	1/24/2025		$8,537
DEPARTMENT OF TREASURY	PROVIDE DIVISION OF DIVERSI...	1/22/2025		$82,590
DEPARTMENT OF TREASURY	OPM RECRUITMENT AND BRANDIN...	1/29/2025		$2,337,505
DEPARTMENT OF VETERANS AFFAIRS	SWRC & LGBTQ+ DATABASE SUBS...	1/29/2025		$73,200
DEPARTMENT OF VETERANS AFFAIRS	THE PURPOSE OF THIS AWARD I...	2/7/2025		$178,202
DEPARTMENT OF VETERANS AFFAIRS	CIVIL TREATMENT TRAINING CO...	2/10/2025		$289,778
DEPARTMENT OF VETERANS AFFAIRS	GOVERNMENT PLUS MEMBERSHIP/...	2/10/2025		$15,000
DEPARTMENT OF VETERANS AFFAIRS	HEALTHCARE DATABASE SUBSCRI...	2/11/2025		$1,089,850
DEPARTMENT OF VETERANS AFFAIRS	WOMEN'S CLINIC EQUITY BOOST...	1/29/2025		$298,021
DEPARTMENT OF THE INTERIOR	E&E NEWS SUITE SUBSCRIPTION...	2/5/2025		$719,271
DEPARTMENT OF THE INTERIOR	E&E NEWS SERVICE SUBSCRIPTI...	2/5/2025		$14,520
DEPARTMENT OF THE INTERIOR	ON-LINE NEWS SUBSCRIPTION	2/5/2025		$797,756
DEPARTMENT OF THE INTERIOR	E&E NEWS ONLINE PUBLICATION...	2/6/2025		$120,500
DEPARTMENT OF THE INTERIOR	E&E NEWS DIRECTOR'S OFFICE	2/6/2025		$81,720
DEPARTMENT OF THE INTERIOR	E & E NEWS	2/6/2025		$66,324
DEPARTMENT OF THE INTERIOR	SEE FPDS	2/10/2025		SEE FPDS
DEPARTMENT OF THE INTERIOR	NATIONAL PARK SERVICE NPS R...	1/29/2025		$3,708,799
DEPARTMENT OF THE INTERIOR	DIVERSITY MARKETING SUPPORT...	1/29/2025		$389,493
DEPARTMENT OF THE INTERIOR	THE UNITED STATES DEPARTMEN...	2/3/2025		$579,949
DEPARTMENT OF THE INTERIOR	RACIAL AND ETHNIC DISPARITI...	2/3/2025		$550,942
DEPARTMENT OF THE INTERIOR	USDA FNS BUILDING EQUITY IN...	2/3/2025		$248,065
DEPARTMENT OF THE INTERIOR	GROUNDWATER EXPLORATION AND...	2/5/2025		$4,210,000
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION SERVICES	2/5/2025		$152,545
DEPARTMENT OF THE INTERIOR	ONLINE E-SUBSCRIPTION SERVI...	2/5/2025		$147,227
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION TO IN...	2/5/2025		$8,000
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION RENEWAL	2/5/2025		$62,500
DEPARTMENT OF THE INTERIOR	SEE FPDS	2/5/2025		SEE FPDS
DEPARTMENT OF THE INTERIOR	E&E PUBLISHING SUBSCRIPTION	2/5/2025		$86,026
DEPARTMENT OF THE INTERIOR	E&E ANNUAL SUBSCRIPTION	2/5/2025		$146,517
DEPARTMENT OF THE INTERIOR	E&E SUBSCRIPTION SERVICES	2/5/2025		$215,897
DEPARTMENT OF THE INTERIOR	OBTAIN ONLINE PUBLICATION S...	2/5/2025		$148,670
DEPARTMENT OF THE INTERIOR	FIRM-FIXED PRICE TASK ORDER...	2/5/2025		$232,875
DEPARTMENT OF THE INTERIOR	OFFICE OF RESTORATION AND D...	2/5/2025		$65,813
DEPARTMENT OF THE INTERIOR	E&E NEWS SUBSCRIPTION	2/5/2025		$72,814
DEPARTMENT OF THE INTERIOR	NR-IOA-55-NEW CONTRACT E&E ...	2/5/2025		$1,105,125
DEPARTMENT OF THE INTERIOR	ENVIRONMENTAL AND SUSTAINAB...	2/6/2025		$555,958
DEPARTMENT OF THE INTERIOR	UNCOMPAHGRE FIELD OFFICE RE...	2/6/2025		$915,739
DEPARTMENT OF THE INTERIOR	E&E NEWS	2/6/2025		$448,373
DEPARTMENT OF THE INTERIOR	POLITICO - EMA	2/6/2025		$268,088
DEPARTMENT OF THE INTERIOR	POLITICO E&E PUBLISHING REN...	2/6/2025		$164,672
DEPARTMENT OF THE INTERIOR	POLITICO - E&E NEWS AND GR...	2/6/2025		$89,962
DEPARTMENT OF THE INTERIOR	ONLINE SUBSCRIPTION TO POLI...	2/6/2025		$64,282
DEPARTMENT OF THE INTERIOR	LEGISLATIVE RESEARCH TOOL	2/6/2025		$61,127
DEPARTMENT OF THE INTERIOR	DOI, POB	2/6/2025		$59,190
DEPARTMENT OF THE INTERIOR	ONLINE SUBSCRIPTION TO POLI...	2/6/2025		$36,500
DEPARTMENT OF THE INTERIOR	PHOENIX AREA OFFICE (PXAO) ...	2/12/2025		$81,175
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	DIVERSITY, EQUITY, INCLUSIO...	1/24/2025		$15,000,000
ENVIRONMENTAL PROTECTION AGENCY	TO PURCHASE A TWO YEAR SUBS...	2/7/2025		$95,922
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO PLUS/PRO ANALY...	2/10/2025		$179,409
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS 12 MONTH BASE PERI...	2/10/2025		$545,710
ENVIRONMENTAL PROTECTION AGENCY	CONSULTING SERVICES TO DEVE...	1/24/2025		$180,000
ENVIRONMENTAL PROTECTION AGENCY	20, ONE-YEAR E&E PUBLISHING...	2/13/2025		$328,561
ENVIRONMENTAL PROTECTION AGENCY	SUBSCRIPTION TO E&E NEWS (P...	2/13/2025		$165,768
ENVIRONMENTAL PROTECTION AGENCY	THIS IS A FIRM FIXED PRICE ...	2/13/2025		$184,915
ENVIRONMENTAL PROTECTION AGENCY	AWARD 30 USER SEAT LICENSE ...	2/13/2025		$98,665
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO PLUS ONE YEAR ...	2/13/2025		$115,180
ENVIRONMENTAL PROTECTION AGENCY	TWELVE (12) MONTH SUBSCRIPT...	2/13/2025		$50,274
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS ELECTRONIC SUBSCRI...	2/13/2025		$29,239
ENVIRONMENTAL PROTECTION AGENCY	SUBSCRIPTION FOR DAILY COMP...	2/13/2025		$29,040
ENVIRONMENTAL PROTECTION AGENCY	THE PURPOSE OF THIS REQUIRE...	2/13/2025		$13,575
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS, PURCHASE ONE-YEAR...	2/13/2025		$40,499
ENVIRONMENTAL PROTECTION AGENCY	E&E NEWS SUBSCRIPTION SERVICES	2/13/2025		$281,786
ENVIRONMENTAL PROTECTION AGENCY	TO SECURE 70 USERS SLOTS FO...	2/13/2025		$43,560
ENVIRONMENTAL PROTECTION AGENCY	SEE FPDS	2/13/2025		SEE FPDS
ENVIRONMENTAL PROTECTION AGENCY	8 LICENSES/SUBSCRIPTIONS OF...	2/13/2025		$59,475
ENVIRONMENTAL PROTECTION AGENCY	TO PROCURE A 1-YEAR ONLINE ...	2/13/2025		$25,800
ENVIRONMENTAL PROTECTION AGENCY	POLITICO PRO RENEWAL FY2025...	2/13/2025		$399,091
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO SUBSCRIPTION	2/7/2025		$37,000
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO PREMIUM SUBSCR...	2/7/2025		$33,525
EXECUTIVE OFFICE OF THE PRESIDENT	SEE FPDS	2/7/2025		SEE FPDS
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO SUBSCRIPTION S...	2/10/2025		$9,750
EXECUTIVE OFFICE OF THE PRESIDENT	SUBSCRIPTION	2/10/2025		$10,250
EXECUTIVE OFFICE OF THE PRESIDENT	SUBSCRIPTIONS	2/10/2025		$29,175
EXECUTIVE OFFICE OF THE PRESIDENT	POLITICO PRO	2/10/2025		$81,000
